DEBUG - heuristics @ 14:49:52.396: H((id=-683733749,d=2,props={▷}|{send reminder},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-683733749,d=2,props={▷}|{send reminder},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=1988121602,d=2,props={place order}|{send reminder},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=1988121602,d=2,props={place order}|{send reminder},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1607990311,d=2,props={send invoice}|{send reminder},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1607990311,d=2,props={send invoice}|{send reminder},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=1025938682,d=2,props={send reminder}|{send reminder},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=1025938682,d=2,props={send reminder}|{send reminder},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1573756221,d=2,props={cancel order}|{send reminder},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1573756221,d=2,props={cancel order}|{send reminder},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=560446772,d=2,props={pay}|{send reminder},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=560446772,d=2,props={pay}|{send reminder},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=982738901,d=2,props={make delivery}|{send reminder},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=982738901,d=2,props={make delivery}|{send reminder},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={5, 6}}))
DEBUG - heuristics @ 14:49:52.399: DequeueNodeEvent((id=-747737535,d=1,props={}|{send reminder},state=PlaceState{presetChildrenMask={0, 1, 2, 3, 4, 5, 6}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-2045246714,d=2,props={▷}|{send invoice},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-2045246714,d=2,props={▷}|{send invoice},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={6}}))
DEBUG - heuristics @ 14:49:52.399: H((id=-1002835366,d=2,props={place order}|{send invoice},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={6}})) = 2.0
DEBUG - heuristics @ 14:49:52.399: EnqueueNodeEvent((id=-1002835366,d=2,props={place order}|{send invoice},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={6}}))
